run,initial_hit_time,probe_after_evict_time
1935,50,970
1936,52,974
1937,56,908
1938,52,908
1939,50,972
1940,54,1096
1941,50,968
1942,52,968
1943,52,910
1944,50,1026
1945,50,976
1946,52,982
1947,50,916
1948,52,832
1949,52,896
1950,50,898
1951,54,986
1952,52,974
1953,56,900
1954,52,900
1955,50,1448
1956,58,1404
1957,56,978
1958,50,920
1959,52,984
1960,50,968
1961,52,908
1962,54,906
1963,48,904
1964,52,980
1965,54,1000
1966,52,990
1967,54,1146
1968,52,914
1969,50,1014
1970,54,982
1971,52,974
1972,52,992
1973,52,844
1974,54,816
1975,54,900
1976,50,978
1977,56,1096
1978,54,972
1979,52,916
1980,52,1434
1981,50,918
1982,52,890
1983,52,1068
1984,56,902
1985,50,980
1986,52,910
1987,52,912
1988,54,886
1989,50,902
1990,54,908
1991,54,906
1992,52,804
1993,52,838
1994,56,972
1995,52,972
1996,54,1062
1997,52,960
1998,56,970
1999,52,868
2000,50,1306
2001,54,1504
2002,50,1734
2003,52,1058
2004,48,816
2005,52,1164
2006,50,902
2007,52,968
2008,52,980
2009,52,908
2010,52,904
2011,54,902
2012,54,1074
2013,52,896
2014,52,980
2015,54,962
2016,52,916
2017,52,912
2018,50,902
2019,52,1252
2020,54,1108
2021,52,894
2022,52,958
2023,52,902
2024,52,1422
2025,54,960
2026,52,1192
2027,52,984
2028,54,1282
2029,56,980
2030,50,1136
2031,52,1008
2032,54,1094
2033,52,968
2034,52,1262
2035,52,996
2036,52,906
2037,52,902
2038,50,914
2039,50,1196
2040,54,986
2041,48,978
2042,56,1240
