run,l1_hit,l2_hit,l3_hit,ram_access
1302,32,32,48,184
1303,32,32,48,188
1304,32,32,56,180
1305,32,32,48,252
1306,32,32,56,180
1307,32,32,48,184
1308,32,32,56,184
1309,32,32,48,184
1310,32,32,56,184
1311,32,32,52,180
1312,32,32,56,180
1313,32,32,52,184
1314,32,32,56,180
1315,32,32,48,184
1316,32,32,48,180
1317,32,32,52,184
1318,32,32,48,184
1319,32,32,56,184
1320,32,32,48,180
1321,32,32,56,712
1322,32,32,48,188
1323,32,32,60,184
1324,32,32,48,292
1325,32,32,52,188
1326,32,32,48,180
1327,32,32,56,184
1328,32,32,44,184
1329,32,32,56,180
1330,32,32,48,184
1331,32,32,48,180
1332,32,32,56,188
1333,32,32,48,180
1334,32,32,56,180
1335,32,32,44,188
1336,32,32,60,180
1337,32,32,48,184
1338,32,32,56,184
1339,32,32,48,180
1340,32,32,56,180
1341,32,32,48,184
1342,32,32,60,180
1343,32,32,48,180
1344,32,32,56,180
1345,32,32,52,180
1346,32,32,48,184
1347,32,32,56,180
1348,32,32,48,180
